Rule ID,תחום,ממצא/נושא,קלטים,תנאי לוגי V1,סטטוס מוצע,חומרה בסיסית 1-5,Override קריטי?,ראיה נדרשת,חישוב היקף,משך,שיטתיות,המלצה ראשונית,שירות אפשרי,מקור משפטי,אוטומציה,הערת זהירות
R-SOC-001,זכויות סוציאליות,הפרשות פנסיה חסרות/מעוכבות,SOC-01,SOC-01=יש חריגים/לא,חשיפה גבוהה,5,כן,נתוני שכר/קופות,מספר עובדים,משך האיחור,חוזר/מדיניות,בדיקת חוסרים והשלמת הפקדות בהקדם.,בדיקת פנסיה,,Rule+Manual,נדרש אימות מול חשבת השכר והסדרים החלים.
R-SOC-002,זכויות סוציאליות,אי-בדיקת קופה פעילה,SOC-02,SOC-02=לפעמים/לא,חשיפה אפשרית,3,לא,תהליך קליטה + חשבות שכר,עובדים חדשים,משך,מדיניות,להסדיר שאלון קליטה ומנגנון מעקב.,נוהל פנסיה לקליטה,,אוטומטי,יש לבחון לפי צו ההרחבה והנסיבות.
R-SOC-003,זכויות סוציאליות,סעיף 14 אינו מאומת,"SOC-04, SOC-05, DOC-01",SOC-05=כן/חלק/לא יודעת,נדרשת בדיקת מסמך,3,לא,הסכם + שיעורי הפקדה,עובדים רלוונטיים,משך,מדיניות,"לאמת את ההסדרה, מועד תחולתה ושיעורי ההפקדה.",בדיקת סעיף 14,https://www.gov.il/BlobFolder/servicequestionnaire/approval-agreement-section28-request/he/guidelines-applying-retroactively-section14.pdf,AI+Rule,אין להסיק תחולה רק מאזכור 'סעיף 14' בחוזה.
R-PAY-001,שכר ותגמול,בונוס/עמלה ללא הסדרה כתובה,"PAY-01, PAY-04",PAY-01=כן AND PAY-04=לא/חלקית,חשיפה אפשרית,3,לא,מנגנון בפועל + תלושים,מקבלי התגמול,משך,חוזר,"לתעד מנגנון זכאות, חישוב וסיום.",תכנית עמלות/בונוסים,,Rule+Manual,המשמעות לזכויות סוציאליות תלויה במהות התשלום.
R-PAY-002,שכר ותגמול,אי-התאמה בין מנגנון תגמול למסמכים,"PAY-03, PAY-04, DOC-03, DOC-05",AI מזהה סתירה בין מסמך לתלוש/תיאור,נדרשת בדיקה,4,לא,מסמך + תלוש,מקבלי התגמול,משך,חוזר,לבחון הפרשים ותנאי זכאות.,בדיקת תכנית תגמול,,AI,לא לקבוע סיווג בונוס/עמלה ללא בדיקה משפטית.
R-TERM-001,סיום העסקה,אין זימון שימוע בכתב,"TERM-01, TERM-02",TERM-01=כן AND TERM-02=לפעמים/לא,חשיפה אפשרית,4,לא,מסמכי סיום,מספר מפוטרים,שנתיים אחרונות,חוזר,לשפר נוהל שימוע ולבדוק אירועים פתוחים.,נוהל שימוע,,אוטומטי,היעדר כתב הוא אינדיקציה חזקה אך יש לבחון ההליך כולו.
R-TERM-002,סיום העסקה,זימון ללא נימוקים,TERM-03,TERM-03=לפעמים/לא,חשיפה אפשרית,4,לא,זימונים לדוגמה,מספר מפוטרים,שנתיים,חוזר,לעדכן תבניות זימון ולהבטיח פירוט מספק.,ליווי שימועים,,אוטומטי,יש לבחון את רמת הפירוט בפועל.
R-TERM-003,סיום העסקה,אין תיעוד שימוע,TERM-04,TERM-04=לפעמים/לא,פער ראייתי,2,לא,תיקי סיום,מספר מפוטרים,שנתיים,חוזר,ליצור מנגנון פרוטוקול/תיעוד.,נוהל שימוע,,אוטומטי,"לא כל העדר פרוטוקול כשלעצמו מבטל הליך, אך הוא יוצר סיכון ראייתי."
R-TERM-004,סיום העסקה,החלטה מתקבלת לפני השימוע,TERM-05,TERM-05=לפני השימוע,חשיפה גבוהה,5,כן,מסמכים + ציר זמן,כל המקרים שבהם זו הפרקטיקה,שנתיים,מדיניות,עצירת הפרקטיקה ובדיקת תבניות ותהליכים מיידית.,ליווי שימועים,,אוטומטי,Override קריטי בשל פגיעה אפשרית בליבת זכות הטיעון.
R-TERM-005,סיום העסקה,כוונת סיום + נסיבה מוגנת,"TERM-06, TERM-07",TERM-06=כן AND TERM-07=כן/לא יודעת,בדיקה מיידית,5,כן,פרטי נסיבה מינימליים + ותק + סטטוס,עובד ספציפי,נוכחי,נקודתי,אין לבצע שינוי לפני בדיקה משפטית פרטנית.,ייעוץ לפני פיטורים,https://www.gov.il/he/service/workers-dismissal-due-to-women-employment-law,אוטומטי+Manual,אין לבקש מידע רפואי מעבר לנדרש.
R-HR-001,דיני עבודה,אין אחראי/ת למניעת הטרדה מינית,HR-02,HR-02=לא/לא יודעת,חשיפה אפשרית,3,לא,תשובת לקוח + מסמכי מינוי,כלל העובדים,משך,מדיניות,למנות אחראי/ת ולהסדיר דרכי פנייה.,הסדרת מניעת הטרדה מינית,,אוטומטי,יש לבדוק את חובות המעסיק בהתאם לגודל ולנסיבות.
R-HR-002,דיני עבודה,מעל 25 עובדים ללא תקנון מותאם/מפורסם,"GEN-04, HR-04",GEN-04>25 AND HR-04=לא/לא יודעת,חשיפה ברורה,4,לא,תקנון/הוכחת פרסום,כלל העובדים,משך,מדיניות,להכין ולהפיץ תקנון מותאם.,תקנון הטרדה מינית,https://main.knesset.gov.il/News/PressReleases/pages/press01.05.18d.aspx,אוטומטי,לבדוק גם מינוי אחראי/ת והנגשה.
R-LIT-001,דיני עבודה,הליכים קודמים,"LIT-01, LIT-02",LIT-01=כן,אינדיקציית רקע,1,לא,מספרי הליך/מסמכים,לא חל,5 שנים,חוזר אם אותו נושא,לזהות דפוסים חוזרים ולהפיק Lessons Learned.,בדיקת הליכים קודמים,,Manual,אינו 'הפרה' בפני עצמו ולא אמור להעלות חומרה מהותית לבדו.
R-PRIV-001,פרטיות,אין/חסר יידוע עובדים,"PRIV-03, DOC-07",PRIV-03=לא/חלקי OR מסמך חסר רכיבי יידוע,חשיפה אפשרית,4,לא,מסמך יידוע + תהליכי איסוף,כלל העובדים/קבוצות,משך,מדיניות,להכין/לעדכן הודעת פרטיות לעובדים.,Employee Privacy Notice,https://www.gov.il/he/pages/tikun13_qa?chapterIndex=6,AI+Rule,"יש להתאים את היידוע לסוגי המידע, מטרות והעברות בפועל."
R-PRIV-002,פרטיות,גישה רחבה למידע עובדים,PRIV-04,גישה כוללת מנהלים/עובדים ללא צורך תפקידי ברור,נדרשת בדיקה,3,לא,מטריצת הרשאות,מספר בעלי הרשאה,משך,מדיניות,לבנות Role-Based Access ולצמצם הרשאות.,מיפוי הרשאות,,Manual,אין לקבוע עודפות רק מתפקיד כללי; נדרש להבין צורך תפקידי.
R-PRIV-003,פרטיות,חשבונות משתמש משותפים,PRIV-05,PRIV-05=כן,חשיפה אבטחת מידע,4,לא,רשימת חשבונות/מערכות,מערכות מושפעות,משך,מדיניות,לבטל חשבונות משותפים ולנהל זיהוי והרשאות אישיות.,אבטחת מידע והרשאות,,אוטומטי,יש לבחון את רמת האבטחה והמערכות הרלוונטיות.
R-PRIV-004,פרטיות,ספקים עם גישה ללא הסדרה,"PRIV-06, PRIV-07",PRIV-06≠אין AND PRIV-07=חלקם/לא/לא יודעת,חשיפה אפשרית,4,לא,הסכמים עם ספקים,מספר ספקים/מערכות,משך,מדיניות,להסדיר התקשרויות פרטיות ואבטחת מידע.,נספחי פרטיות/עיבוד,,אוטומטי,יש לזהות תפקיד משפטי של כל ספק והוראות התקנות.
R-CAM-001,פרטיות,מצלמה בחדר הלבשה,PRIV-09,PRIV-09 כולל חדר הלבשה,בדיקה מיידית,5,כן,מיקום/תצלום/מפת מצלמות,עובדים חשופים,משך,מדיניות,בדיקה מיידית של עצם הצילום והפסקת חשיפה עד בירור.,בדיקת מצלמות,https://www.gov.il/blobfolder/policy/workplace_camera/he/3-17_0.pdf,אוטומטי+Manual,"דגל חריף; לא לקבוע מסקנה סופית ללא נסיבות, אך יש לתעדף מיידית."
R-CAM-002,פרטיות,מצלמות ללא יידוע,"PRIV-08, PRIV-11",PRIV-08=כן AND PRIV-11=לא/חלקי,חשיפה גבוהה,5,כן,מדיניות/הודעה,כלל העובדים המצולמים,משך,מדיניות,"להסדיר שקיפות, מטרה ומידתיות.",בדיקת מצלמות,https://www.gov.il/blobfolder/policy/workplace_camera/he/3-17_0.pdf,אוטומטי,הנחיית הרשות מדגישה שקיפות ומידתיות ביחסי עבודה.
R-CAM-003,פרטיות,מצלמות ללא שילוט,PRIV-12,PRIV-12=לא/חלק,פער ציות,3,לא,מפת שילוט,אזורים מצולמים,משך,מדיניות,להשלים שילוט כחלק ממכלול השקיפות.,בדיקת מצלמות,https://www.gov.il/blobfolder/policy/workplace_camera/he/3-17_0.pdf,אוטומטי,השילוט אינו מחליף יידוע עובדים.
R-CAM-004,פרטיות,הקלטת קול במצלמות,PRIV-13,PRIV-13=כן/לא יודעת,בדיקה מיידית,5,כן,מפרט מערכת/ספק,כלל המצולמים,משך,מדיניות,בדיקה משפטית נפרדת ומיידית של ההקלטה.,בדיקת מצלמות והקלטה,https://www.gov.il/blobfolder/policy/workplace_camera/he/3-17_0.pdf,אוטומטי+Manual,עשויות להתעורר גם סוגיות לפי דינים נוספים; אין להסתפק בדיני פרטיות.
R-CAM-005,פרטיות,שימוש בצילום לפיקוח/משמעת,"PRIV-10, PRIV-16",PRIV-16=כן/לעיתים,נדרשת בדיקת מטרה,4,לא,מדיניות + הודעה לעובדים,עובדים מצולמים,משך,חוזר,להשוות בין המטרה שהוגדרה לבין השימוש בפועל.,בדיקת מצלמות,https://www.gov.il/blobfolder/policy/workplace_camera/he/3-17_0.pdf,Rule+Manual,שימוש משני עשוי להיות בעייתי במיוחד אם לא הוגדר מראש.
R-CAM-006,פרטיות,שמירת צילומים ממושכת/לא ידועה,PRIV-15,PRIV-15=>90 ימים/ללא מגבלה/לא יודעת,נדרשת בדיקת מידתיות,3,לא,הגדרות מערכת,כלל הצילומים,משך,מדיניות,לקבוע תקופת שמירה התואמת למטרה ולצמצם עודף.,מדיניות שמירת מידע,https://www.gov.il/blobfolder/policy/workplace_camera/he/3-17_0.pdf,אוטומטי,"90 יום הוא טריגר לבחינה, לא 'קו חוקי' אוטומטי."
R-BIO-001,פרטיות,ביומטריה ללא חלופה,"PRIV-17, PRIV-18, TIME-02",PRIV-17=כן AND PRIV-18=לא/לא יודעת,חשיפה גבוהה,5,כן,מפרט מערכת + נוהל + חלופות,משתמשי המערכת,משך,מדיניות,"לבחון נחיצות, חלופה פחות פוגענית, יידוע והסדרה.",בדיקת ביומטריה,https://www.gov.il/BlobFolder/policy/biometric_workplace/he/BiometriWorkplace.pdf,אוטומטי+Manual,עמדת הרשות מ-2026 מחייבת בחינת מידתיות וחלופות.
R-MON-001,פרטיות,ניטור דיגיטלי ללא יידוע,"PRIV-19, PRIV-21",PRIV-19≠אין AND PRIV-21=לא/חלקי,חשיפה גבוהה,5,כן,מדיניות ניטור + מערכת,עובדים מנוטרים,משך,מדיניות,"להסדיר שקיפות, תכלית והיקף לפני המשך השימוש.",מדיניות ניטור עובדים,https://mojforms.justice.gov.il/mojaemprivacyprotectionauthority/dpiaform.html,אוטומטי,נדרש לבחון כל אמצעי ניטור בנפרד.
R-MON-002,פרטיות,ניטור מחוץ לשעות העבודה,"PRIV-19, PRIV-22",PRIV-22=כן/תלוי,בדיקה מיידית,5,כן,הגדרות מערכת + מדיניות,עובדים מנוטרים,משך,מדיניות,לבדוק אפשרות כיבוי/צמצום ונחיצות המעקב מחוץ לעבודה.,מדיניות ניטור עובדים,https://mojforms.justice.gov.il/mojaemprivacyprotectionauthority/dpiaform.html,אוטומטי+Manual,דגל חמור במיוחד בנתוני מיקום ומכשירים אישיים.
R-EMAIL-001,פרטיות,"גישה לדוא""ל ללא פרוצדורה",PRIV-23,PRIV-23=לא/לא יודעת,חשיפה אפשרית,3,לא,"מדיניות IT/דוא""ל",כלל העובדים,משך,מדיניות,"לקבוע נוהל גישה, נסיבות, הרשאות ותיעוד.","מדיניות מערכות ודוא""ל",,אוטומטי,נדרשת התאמה לפסיקה ולנסיבות השימוש בתיבה.
R-OFF-001,פרטיות,הרשאות אינן מבוטלות בסיום,PRIV-24,PRIV-24=בתוך מספר ימים/לא באופן קבוע/לא יודעת,חשיפה אבטחת מידע,4,לא,נוהל Offboarding + לוגים,עובדים שסיימו,משך,מדיניות,לקבוע ביטול הרשאות מיידי ומתועד.,נוהל Offboarding,,אוטומטי,רמת החומרה עולה אם נשמרת גישה למידע רגיש.
R-OFF-002,פרטיות,"העברת תיבת דוא""ל למנהל",PRIV-25,PRIV-25=מועברת למנהל/נשארת פעילה,נדרשת בדיקה,4,לא,מדיניות + אופן גישה,עובדים שסיימו,משך לאחר סיום,מדיניות,"לבדוק מידתיות, תקופת מעבר, יידוע וגישה לתוכן.",מדיניות סיום עבודה ופרטיות,,Rule+Manual,העברה אוטומטית לכל התוכן אינה מומלצת ללא בדיקה.
R-RET-001,פרטיות,אין מדיניות שמירת מידע,PRIV-26,PRIV-26=לא/לא יודעת,פער ממשל פרטיות,3,לא,מסמך Retention,כלל המידע,משך,מדיניות,לבנות מטריצת שמירה ומחיקה לפי קטגוריה וצורך.,מדיניות שמירת מידע,,אוטומטי,אין לקבוע תקופות אחידות לכל סוגי המידע.
R-INC-001,פרטיות,אירוע אבטחת מידע בעבר,PRIV-27,PRIV-27=כן,בדיקה מיידית,5,כן,תיאור אירוע + טיפול שנעשה,לפי האירוע,לפי האירוע,נקודתי/חוזר,לבדוק חובות תיעוד/דיווח והפקת לקחים.,טיפול באירוע פרטיות,,Manual,יש לצמצם איסוף פרטי האירוע בשאלון ולהעביר לבדיקה מאובטחת.
R-DPO-001,פרטיות,Screening לחובת DPO,PRIV-28 + פרופיל פעילות,PRIV-28=לא/לא יודעת AND קיימים מאפייני פעילות החייבים בדיקה,נדרשת בדיקת תחולה,3,לא,מידע על פעילות הליבה והיקף העיבוד,ארגוני,נוכחי,מדיניות,לבצע Screening ייעודי לפי סעיף 17ב1 וגילוי דעת 2026.,בחינת חובת DPO,https://www.gov.il/he/pages/amendment-13-26-07-26,Rule+Manual,אין להסיק חובה רק ממידע עובדים; זהו Screening ארגוני.
