ID,תחום,תת-תחום,נוסח השאלה ללקוח,סוג תשובה,אפשרויות / פורמט,מתי מוצג (Trigger),שאלת המשך / פעולה,מסמך להעלאה,בדיקה פנימית בשלב הניתוח,שירות/צורך שעשוי להתגלות,ליבה/מותנה
GEN-11,פרופיל העסק,HR,האם יש בעסק גורם האחראי על משאבי אנוש?,כן/לא,כן | לא,GEN-04 > 0,"אם כן → שם, תפקיד, טלפון ודוא""ל.",,,ממשק עבודה מול HR,ליבה
GEN-12,פרופיל העסק,שכר,מי מטפל בפועל בשכר העובדים?,בחירה יחידה,"חשבת שכר פנימית | חשבת שכר חיצונית | רו""ח | הנהלת חשבונות | בעל/ת העסק | אחר",GEN-04 > 0,לבקש שם ופרטי התקשרות; בהמשך אפשר לשלוח שאלון משלים.,,,שאלון חשבות שכר,ליבה
EMP-01,קליטת עובדים ומסמכים,הסכם עבודה,האם קיים הסכם עבודה בכתב עם כל העובדים?,בחירה יחידה,"כן, עם כולם | רק עם חלקם | לא | לא יודעת",GEN-04 > 0,אם כן/חלקם → אפשרות להעלות הסכם מייצג.,הסכם עבודה מייצג,לנתח האם ההסכם כולל את פרטי החובה הרלוונטיים; אין להסיק כשלעצמו שעמדה חובת הודעה לעובד.,,ליבה
EMP-02,קליטת עובדים ומסמכים,הודעה לעובד,האם נמסרה לעובדים הודעה בכתב על תנאי העבודה?,בחירה יחידה,"כן, לכולם | רק לחלקם | לא | לא יודעת",GEN-04 > 0,אם קיימת → אפשרות להעלות דוגמה.,הודעה לעובד,להצליב עם EMP-01: אם אין הודעה אך יש הסכם — לבדוק אם ההסכם ממלא את דרישות הדין.,,ליבה
EMP-03,קליטת עובדים ומסמכים,מועד מסירה,מתי העובד מקבל בדרך כלל את הסכם העבודה או מסמך תנאי העבודה?,בחירה יחידה,לפני תחילת העבודה | ביום תחילת העבודה | לאחר תחילת העבודה | משתנה | לא יודעת,GEN-04 > 0,,,"לבחון עמידה במועדים לפי הדין, לפי גיל העובד ונסיבות ההעסקה.",,ליבה
EMP-04,קליטת עובדים ומסמכים,שינוי תנאים,"האם במהלך ההעסקה משתנים לעיתים שכר, תפקיד, היקף משרה, שעות או מקום העבודה?",כן/לא,כן | לא,GEN-04 > 0,אם כן → EMP-05.,,,,ליבה
EMP-05,קליטת עובדים ומסמכים,שינוי תנאים,"כאשר חל שינוי מהותי בתנאי העבודה, האם הוא מתועד ונמסר לעובד בכתב?",בחירה יחידה,תמיד | בדרך כלל | לפעמים | לא | לא יודעת,EMP-04 = כן,,,לבדוק חובת הודעה על שינוי ותאימות בין ההסכם למציאות.,,מותנה
EMP-06,קליטת עובדים ומסמכים,תיק עובד,האם קיים תיק עובד מסודר לכל עובד?,בחירה יחידה,"כן, לכולם | לחלקם | לא | לא יודעת",GEN-04 > 0,אם כן/חלקם → EMP-07.,,,,ליבה
EMP-07,קליטת עובדים ומסמכים,תיק עובד,היכן נשמרים תיקי העובדים והמסמכים הנלווים?,בחירה מרובה,"מערכת HR | שרת החברה | Google Drive/OneDrive/Dropbox | מחשב אישי | דוא""ל | WhatsApp | תיק פיזי | אצל חשבת השכר/רו""ח | אחר",EMP-06 ≠ לא,,,"פותח במקביל בדיקת פרטיות, הרשאות ושמירת מידע.",,מותנה
PAY-01,שכר ותגמול,בונוסים ועמלות,"האם משולמים לעובדים בונוסים, עמלות או תמריצים בנוסף לשכר הבסיס?",כן/לא,כן | לא,GEN-04 > 0,אם כן → PAY-02–PAY-05.,,,,ליבה
PAY-02,שכר ותגמול,בונוסים ועמלות,אילו סוגי תשלומים נוספים משולמים?,בחירה מרובה,עמלה על מכירה/עסקה | בונוס על יעדים | בונוס תקופתי | בונוס לפי שיקול דעת | תמריץ אחר,PAY-01 = כן,,,,,מותנה
PAY-03,שכר ותגמול,בונוסים ועמלות,כיצד מחושב הבונוס/העמלה?,טקסט קצר,,PAY-01 = כן,,,ה-AI יחפש מאפייני עמלה/תשלום קבוע/מותנה והשפעה אפשרית על בסיס זכויות.,,מותנה
PAY-04,שכר ותגמול,בונוסים ועמלות,האם מנגנון הבונוס/העמלה מוסדר במסמך כתוב?,בחירה יחידה,"כן, בהסכם העבודה | כן, בנספח/תכנית נפרדת | חלקית | לא | לא יודעת",PAY-01 = כן,אם קיים מסמך → העלאה.,הסכם/נספח עמלות/תכנית בונוסים,"לבדוק נוסחה, תנאי זכאות, שינוי חד-צדדי, מועד תשלום והגדרת בסיס לזכויות.",,מותנה
PAY-05,שכר ותגמול,בונוסים ועמלות,האם יש הבדלים במנגנון התגמול בין קבוצות עובדים?,כן/לא/לא יודעת,כן | לא | לא יודעת,PAY-01 = כן,אם כן → פירוט קצר.,,,,מותנה
TIME-01,שעות עבודה ונוכחות,דיווח שעות,האם העובדים מדווחים שעות עבודה?,בחירה יחידה,"כן, כולם | רק עובדים שעתיים | רק חלק מהעובדים | לא | לא יודעת",GEN-04 > 0,אם יש דיווח → TIME-02; אם חלק/לא → TIME-03.,,,,ליבה
TIME-02,שעות עבודה ונוכחות,דיווח שעות,כיצד מתבצע דיווח השעות?,בחירה מרובה,כרטיס/תג | אפליקציה | מחשב | דיווח ידני | טביעת אצבע | זיהוי פנים | אחר,TIME-01 = כן/חלק,,,טביעת אצבע/זיהוי פנים מפעילים גם מודול ביומטריה בפרטיות.,,מותנה
TIME-03,שעות עבודה ונוכחות,דיווח שעות,"אילו עובדים אינם מדווחים שעות, ומה הסיבה לכך?",טקסט קצר,,TIME-01 = רק חלק / רק שעתיים / לא,,,לבדוק האם הוחרגו כדין או שמדובר בפרקטיקה בעייתית.,,מותנה
TIME-04,שעות עבודה ונוכחות,דיווח שעות,האם העובדים יכולים לעקוב אחר רישום שעות העבודה שלהם?,בחירה יחידה,"כן, באופן שוטף | מקבלים דו""ח חודשי | רק לפי בקשה | לא | לא יודעת",TIME-01 ≠ לא,,,,,ליבה
TIME-05,שעות עבודה ונוכחות,מסמכים,"האם ניתן להעלות דו""ח נוכחות של עובד אחד מחודש מייצג?",כן/לא,כן | לא,TIME-01 ≠ לא,,"דו""ח נוכחות",לצלב מול תלוש של אותו חודש.,,מותנה
TIME-06,שעות עבודה ונוכחות,שעות נוספות,האם עובדים מבצעים שעות נוספות?,בחירה יחידה,"כן, באופן קבוע | כן, לעיתים | לא | לא יודעת",GEN-04 > 0,אם כן/לעיתים → TIME-07–TIME-09.,,,,ליבה
TIME-07,שעות עבודה ונוכחות,שעות נוספות,כיצד משולמות שעות נוספות?,בחירה מרובה,לפי שעות שבוצעו בפועל | רכיב שעות נוספות גלובלי | כלולות בשכר החודשי | לא משולמות בנפרד | אחר | לא יודעת,TIME-06 = כן/לעיתים,,,"לבדוק מנגנון חוזי, תלוש, נוכחות והיקף ביצוע בפועל.",,מותנה
TIME-08,שעות עבודה ונוכחות,שעות נוספות,אם משולם רכיב שעות נוספות גלובלי — האם הוא מופיע כרכיב נפרד בתלוש?,כן/לא/לא יודעת,כן | לא | לא יודעת,TIME-07 כולל שעות נוספות גלובליות,,,"להצליב עם החוזה ודו""חות נוכחות.",,מותנה
TIME-09,שעות עבודה ונוכחות,שעות נוספות,האם הסכם העבודה מתייחס למנגנון השעות הנוספות?,כן/לא/לא יודעת,כן | לא | לא יודעת,TIME-06 = כן/לעיתים,,,עדיפות לניתוח המסמך עצמו; תשובת הלקוח היא אינדיקציה בלבד.,,מותנה
TIME-10,שעות עבודה ונוכחות,שבוע עבודה,האם שבוע העבודה הרגיל בעסק הוא בן 5 ימים או 6 ימים?,בחירה יחידה,5 ימים | 6 ימים | משתנה בין עובדים | לא יודעת,GEN-04 > 0,,,,,ליבה
TIME-11,שעות עבודה ונוכחות,משמרות,האם קיימת עבודה במשמרות?,כן/לא,כן | לא,GEN-04 > 0,אם כן → TIME-12–TIME-14.,,,,ליבה
TIME-12,שעות עבודה ונוכחות,משמרות,מהו משך המשמרת הרגילה?,מספר שעות,,TIME-11 = כן,,,,,מותנה
TIME-13,שעות עבודה ונוכחות,לילה,האם קיימות משמרות לילה?,כן/לא,כן | לא,TIME-11 = כן,אם כן → שעות התחלה וסיום.,,לבדוק תחולת דיני עבודת לילה והיקף השעות.,,מותנה
TIME-14,שעות עבודה ונוכחות,מנוחה שבועית,האם עובדים מועסקים בשבת או בחג?,בחירה יחידה,"כן, באופן קבוע | לעיתים | לא | לא יודעת",GEN-04 > 0,,,לבדוק היתרים/חריגים/גמול ומנוחה חלופית לפי הענף והעובד.,,ליבה
TIME-15,שעות עבודה ונוכחות,הפסקות,האם העובדים נדרשים להישאר זמינים או במקום העבודה בזמן ההפסקה?,בחירה יחידה,כן | לא | תלוי בתפקיד | לא יודעת,GEN-04 > 0,,,לבדוק האם ההפסקה ניתנת לניכוי ומהי מתכונת העבודה.,,ליבה
TIME-16,שעות עבודה ונוכחות,עבודה מרחוק,"האם עובדים מבצעים עבודה מהבית או לאחר שעות העבודה באמצעות מייל, WhatsApp, טלפון וכדומה?",בחירה יחידה,"כן, באופן שוטף | לעיתים | לא | לא יודעת",GEN-04 > 0,,,"לבחון דיווח שעות, ציפיות זמינות ומדיניות עבודה מרחוק.",,ליבה
SOC-01,זכויות סוציאליות,פנסיה,האם מבוצעות הפרשות פנסיוניות לכל העובדים הזכאים לכך?,בחירה יחידה,כן | יש חריגים/עיכובים | לא | לא יודעת,GEN-04 > 0,"אם חריגים/לא → פירוט כללי, ללא פרטי עובד מיותרים.",,,,ליבה
SOC-02,זכויות סוציאליות,פנסיה,"בעת קליטת עובד חדש, האם נבדק אם קיימת לו קופה פנסיונית פעילה?",בחירה יחידה,תמיד | בדרך כלל | לפעמים | לא | לא יודעת,GEN-04 > 0,,,,,ליבה
SOC-03,זכויות סוציאליות,פנסיה,מי אחראי למעקב אחר ביצוע ההפקדות ולטיפול בהפקדות שנדחו או נכשלו?,טקסט קצר,,GEN-04 > 0,,,,בדיקת ממשק מעסיק–חשבות שכר,ליבה
SOC-04,זכויות סוציאליות,פיצויים,מה שיעור ההפקדה לרכיב הפיצויים?,בחירה יחידה,6% | 8.33% | משתנה בין עובדים | לא יודעת,GEN-04 > 0,,,"להצליב עם ההסכמים, צווי הרחבה/הסדרים רלוונטיים וסעיף 14.",,ליבה
SOC-05,זכויות סוציאליות,סעיף 14,האם ידוע לך אם הסכמי העבודה כוללים הסדרה לפי סעיף 14 לחוק פיצויי פיטורים?,בחירה יחידה,כן | לא | בחלק מההסכמים | לא יודעת,GEN-04 > 0,,,אין להסתמך על תשובה זו; ניתוח המסמך יקבע אם קיימת הסדרה ובאיזה היקף.,,ליבה
SOC-06,זכויות סוציאליות,הבדלים בין עובדים,האם קיימים הבדלים בהפרשות או בהטבות בין קבוצות עובדים?,כן/לא/לא יודעת,כן | לא | לא יודעת,GEN-04 > 0,אם כן → פירוט קצר לפי סוג עובדים.,,,,ליבה
SOC-07,זכויות סוציאליות,קרן השתלמות,האם קיימת זכאות לקרן השתלמות?,בחירה יחידה,"כן, לכל העובדים | כן, לחלק מהעובדים | לא | לא יודעת",GEN-04 > 0,אם כן → SOC-08.,,,,ליבה
SOC-08,זכויות סוציאליות,קרן השתלמות,מהם התנאים לקבלת קרן השתלמות?,בחירה מרובה,מהיום הראשון | לאחר ותק מסוים | לפי תפקיד | לפי דרג | לפי הסכם אישי | אחר | לא יודעת,SOC-07 = כן,,,להצליב עם הסכמי העבודה והפרקטיקה.,,מותנה
HR-01,ניהול עובדים וסיום העסקה,מחלוקת פעילה,"האם קיימת כיום מחלוקת, תלונה או סוגיה מול עובד שמטרידה אותך?",כן/לא,כן | לא,GEN-04 > 0,אם כן → שדה פתוח לתיאור קצר.,,,ייעוץ משפטי נקודתי,ליבה
TERM-01,ניהול עובדים וסיום העסקה,פיטורים,האם פוטרו עובדים במהלך השנתיים האחרונות?,כן/לא,כן | לא,GEN-05 > 0 או GEN-04 > 0,אם כן → TERM-02–TERM-05.,,,,ליבה
TERM-02,ניהול עובדים וסיום העסקה,שימוע,האם בדרך כלל נשלח לעובד זימון לשימוע בכתב?,בחירה יחידה,תמיד | בדרך כלל | לפעמים | לא | לא יודעת,TERM-01 = כן,,,,,מותנה
TERM-03,ניהול עובדים וסיום העסקה,שימוע,האם הזימון מפרט את הנימוקים שבגינם נשקל סיום ההעסקה?,בחירה יחידה,תמיד | בדרך כלל | לפעמים | לא | לא יודעת,TERM-01 = כן,,,,,מותנה
TERM-04,ניהול עובדים וסיום העסקה,שימוע,האם נערך פרוטוקול או תיעוד מסודר של השימוע?,בחירה יחידה,תמיד | בדרך כלל | לפעמים | לא | לא יודעת,TERM-01 = כן,,,,,מותנה
TERM-05,ניהול עובדים וסיום העסקה,שימוע,מתי מתקבלת בדרך כלל ההחלטה הסופית על הפיטורים?,בחירה יחידה,לפני השימוע | במהלך השימוע | לאחר השימוע | משתנה | לא יודעת,TERM-01 = כן,,,טריגר מהותי לבחינת תקינות הליך השימוע.,,מותנה
TERM-06,ניהול עובדים וסיום העסקה,סיום צפוי,האם קיימת כיום כוונה או אפשרות ממשית לסיים העסקתו של עובד?,כן/לא,כן | לא,GEN-04 > 0,,,,ליווי שימוע וסיום העסקה,ליבה
TERM-07,ניהול עובדים וסיום העסקה,אוכלוסיות מוגנות,"האם יש כיום עובד/ת בהריון, בתקופת לידה והורות/לאחריה, בטיפולי פוריות, במילואים, במחלה ממושכת או בנסיבה מיוחדת אחרת?",בחירה יחידה,כן | לא | לא יודעת,GEN-04 > 0,"אם כן → תיאור קטגוריה בלבד, ללא מידע רפואי מעבר לנדרש.",,טריגר לבדיקה משפטית פרטנית לפני שינוי תנאים/פיטורים.,,ליבה
HR-02,ניהול עובדים וסיום העסקה,הטרדה מינית,האם מונה בעסק גורם אחראי לטיפול בתלונות על הטרדה מינית?,כן/לא/לא יודעת,כן | לא | לא יודעת,GEN-04 > 0,,,,,ליבה
HR-03,ניהול עובדים וסיום העסקה,הטרדה מינית,האם העובדים יודעים למי ניתן לפנות במקרה של תלונה על הטרדה מינית?,כן/לא/לא יודעת,כן | לא | לא יודעת,GEN-04 > 0,,,,,ליבה
HR-04,ניהול עובדים וסיום העסקה,הטרדה מינית,האם קיים ומפורסם בעסק תקנון מותאם למניעת הטרדה מינית?,כן/לא/לא יודעת,כן | לא | לא יודעת,GEN-04 > 25,,תקנון למניעת הטרדה מינית,הטריגר מבוסס מספר עובדים; לבדוק גם אופן הפרסום וההתאמה לעסק.,,מותנה
LIT-01,ניהול עובדים וסיום העסקה,הליכים,האם העסק היה צד להליך משפטי או מינהלי בתחום יחסי העבודה במהלך 5 השנים האחרונות?,כן/לא/לא יודעת,כן | לא | לא יודעת,תמיד,אם כן → LIT-02.,,,,ליבה
LIT-02,ניהול עובדים וסיום העסקה,הליכים,"אם כן, נא לציין בקצרה את נושא ההליך ומספר ההליך, ככל שידוע.",טקסט קצר,,LIT-01 = כן,,כתב תביעה/פסק דין/הסכם פשרה – אופציונלי,אפשר לנסות איתור ציבורי לפי מספר תיק; אין להסתמך על חיפוש שמי בלבד.,,מותנה
FR-01,פרילנסרים,הסכם,האם קיים הסכם שירותים בכתב עם כל הפרילנסרים/נותני השירות הקבועים?,בחירה יחידה,"כן, עם כולם | עם חלקם | לא | לא יודעת",GEN-06 > 0,אם קיים → העלאת הסכם מייצג.,הסכם פרילנסר/נותן שירות,לנתח את ההסכם אך לא להסתמך על הכותרת 'קבלן עצמאי' כמכריעה.,בדיקת סיווג פרילנסרים,מותנה
FR-02,פרילנסרים,משך קשר,"כמה זמן, בממוצע, נותני השירות המרכזיים עובדים עם העסק?",בחירה יחידה,עד 3 חודשים | 3–12 חודשים | 1–3 שנים | מעל 3 שנים | משתנה מאוד,GEN-06 > 0,,,,,מותנה
FR-03,פרילנסרים,תשלום,כיצד משולם נותן השירות המרכזי?,בחירה מרובה,סכום חודשי קבוע | לפי שעות | לפי פרויקט | לפי תפוקה/עסקה | אחר,GEN-06 > 0,,,,,מותנה
FR-04,פרילנסרים,לקוחות נוספים,האם נותן השירות המרכזי נותן שירותים גם ללקוחות אחרים?,בחירה יחידה,כן | לא | לא יודעת,GEN-06 > 0,,,,,מותנה
FR-05,פרילנסרים,שעות,מי קובע את שעות הפעילות של נותן השירות?,בחירה יחידה,העסק | נותן השירות | נקבעות יחד | אין שעות קבועות,GEN-06 > 0,,,,,מותנה
FR-06,פרילנסרים,ביצוע אישי,"האם נותן השירות חייב לבצע את העבודה באופן אישי, או שהוא יכול להיעזר/להחליף את עצמו באדם אחר?",בחירה יחידה,חייב לבצע אישית | יכול להיעזר באחרים | תלוי באישור העסק | לא יודעת,GEN-06 > 0,,,,,מותנה
FR-07,פרילנסרים,כפיפות,האם יש לנותן השירות מנהל/ת מטעם העסק שנותן/ת לו הוראות מקצועיות שוטפות?,בחירה יחידה,כן | במידה מוגבלת | לא,GEN-06 > 0,,,,,מותנה
FR-08,פרילנסרים,מקום עבודה,היכן נותן השירות מבצע בדרך כלל את עבודתו?,בחירה יחידה,במשרדי העסק | ממשרדו/ביתו | אצל לקוחות | משתנה,GEN-06 > 0,,,,,מותנה
FR-09,פרילנסרים,ציוד,מי מספק את עיקר הציוד והכלים הדרושים לעבודה?,בחירה יחידה,העסק | נותן השירות | משולב,GEN-06 > 0,,,,,מותנה
FR-10,פרילנסרים,השתלבות,"האם לנותן השירות יש כתובת דוא""ל של העסק, הרשאה למערכות, כרטיס ביקור או הצגה באתר כחלק מצוות העסק?",בחירה יחידה,כן | חלק מהדברים | לא,GEN-06 > 0,,,,,מותנה
FR-11,פרילנסרים,השתלבות,"האם נותן השירות משתתף באופן שוטף בישיבות צוות, הדרכות או פעילויות עובדים?",בחירה יחידה,כן | לעיתים | לא,GEN-06 > 0,,,,,מותנה
FR-12,פרילנסרים,חופשות,האם נותן השירות נדרש לקבל אישור לחופשה או להיעדרות?,בחירה יחידה,כן | רק לתאם מראש | לא,GEN-06 > 0,,,,,מותנה
FR-13,פרילנסרים,השוואה לעובדים,האם עובדים שכירים בעסק מבצעים עבודה דומה או זהה לעבודתו של נותן השירות?,בחירה יחידה,כן | חלקית | לא,GEN-06 > 0,,,,,מותנה
FR-14,פרילנסרים,היסטוריית קשר,"האם נותן השירות היה בעבר עובד שכיר של העסק, או עבר בהמשך להיות עובד שכיר?",בחירה יחידה,כן | לא,GEN-06 > 0,,,טריגר משמעותי לבחינת שינוי הסיווג והקשר בפועל.,,מותנה
PRIV-01,פרטיות במקום העבודה,מיפוי מידע,איזה מידע אישי נשמר על עובדים במסגרת העסק?,בחירה מרובה,פרטי זיהוי וקשר | חשבון בנק | שכר | פנסיה | אישורי מחלה/מידע רפואי | מידע על בני משפחה | נתוני נוכחות | נתוני מיקום | צילומי מצלמות | מידע ביומטרי | הערכות ביצועים/משמעת | אחר,GEN-04 > 0,,,לבנות Inventory של מידע עובדים; חלק מהקטגוריות הן מידע בעל רגישות מיוחדת.,,ליבה
PRIV-02,פרטיות במקום העבודה,מיקום מידע,באילו מערכות או מקומות נשמר מידע על עובדים?,בחירה מרובה,"מערכת שכר | מערכת HR | שרת החברה | שירות ענן | מחשב אישי | דוא""ל | WhatsApp | תיקי נייר | אצל ספק חיצוני | אחר",GEN-04 > 0,,,"לזהות פיזור מידע, ספקים וגישה לא מבוקרת.",,ליבה
PRIV-03,פרטיות במקום העבודה,יידוע,"האם העובדים מקבלים מסמך שמסביר איזה מידע אישי נאסף עליהם, מדוע, כיצד משתמשים בו ולמי הוא עשוי להימסר?",בחירה יחידה,"כן, מדיניות/הודעת פרטיות נפרדת | יש התייחסות בהסכם העבודה | באופן חלקי | לא | לא יודעת",GEN-04 > 0,אם קיים מסמך → העלאה.,הודעת/מדיניות פרטיות לעובדים,לבדוק התאמה לחובות היידוע לפי הדין המעודכן.,הודעת פרטיות לעובדים,ליבה
PRIV-04,פרטיות במקום העבודה,גישה למידע,מי יכול לגשת לתיקי עובדים או למידע אישי על עובדים?,בחירה מרובה,"בעל/ת העסק | HR | מנהלים | הנהלת חשבונות | חשבת שכר/רו""ח | IT | ספקים חיצוניים | עובדים נוספים",GEN-04 > 0,,,לבחון עקרון Need-to-know והרשאות לפי תפקיד.,,ליבה
PRIV-05,פרטיות במקום העבודה,חשבונות והרשאות,האם קיימים חשבונות משתמש משותפים למספר עובדים במערכות שבהן נשמר מידע אישי?,בחירה יחידה,כן | לא | לא יודעת,GEN-04 > 0,,,דגל לאבטחת מידע והרשאות.,,ליבה
PRIV-06,פרטיות במקום העבודה,ספקים,לאילו גורמים חיצוניים יש גישה למידע על עובדים?,בחירה מרובה,"חשבת שכר/רו""ח | חברת IT | מערכת נוכחות | מערכת HR | חברת פנסיה/ביטוח | שירות ענן | מגייסים | אחר | אין",GEN-04 > 0,אם יש ספקים → PRIV-07.,,,,ליבה
PRIV-07,פרטיות במקום העבודה,ספקים,האם קיימים הסכמים המסדירים את הטיפול של אותם ספקים במידע האישי?,בחירה יחידה,"כן, עם כולם | עם חלקם | לא | לא יודעת",PRIV-06 ≠ אין,,,לבחון התקשרויות עם מחזיקים/מעבדים חיצוניים והוראות אבטחת מידע.,הסכמי עיבוד/נספחי פרטיות,מותנה
PRIV-08,פרטיות במקום העבודה,מצלמות,האם קיימות מצלמות במרחב העבודה?,כן/לא,כן | לא,GEN-04 > 0,אם כן → PRIV-09–PRIV-16.,,,בדיקת חוקיות מצלמות,ליבה
PRIV-09,פרטיות במקום העבודה,מצלמות,באילו אזורים מותקנות מצלמות?,בחירה מרובה,כניסה/יציאה | מסדרונות | שטחי עבודה | חדרי עבודה | קופה | מחסן | מטבח | חדר עובדים/מנוחה | חדר הלבשה | אחר,PRIV-08 = כן,,,מיקום רגיש מעלה רמת בחינה; חדרי הלבשה/מרחבים פרטיים הם דגל חריף.,,מותנה
PRIV-10,פרטיות במקום העבודה,מצלמות,מהן מטרות השימוש במצלמות?,בחירה מרובה,אבטחה | מניעת גניבות | בטיחות | פיקוח על עובדים | תיעוד אירועים | אחר | לא יודעת,PRIV-08 = כן,,,"לבחון מטרה לגיטימית, נחיצות, מידתיות ושימוש בפועל.",,מותנה
PRIV-11,פרטיות במקום העבודה,מצלמות,האם העובדים קיבלו מידע על קיום המצלמות ועל מטרות השימוש בהן?,בחירה יחידה,"כן, בכתב | כן, בעל פה | חלקית | לא | לא יודעת",PRIV-08 = כן,,,,,מותנה
PRIV-12,פרטיות במקום העבודה,מצלמות,האם קיים שילוט מתאים באזורים המצולמים?,בחירה יחידה,כן | בחלק מהאזורים | לא | לא יודעת,PRIV-08 = כן,,,,,מותנה
PRIV-13,פרטיות במקום העבודה,מצלמות,האם המצלמות מקליטות גם קול?,בחירה יחידה,כן | לא | לא יודעת,PRIV-08 = כן,,,דגל משמעותי לבדיקה משפטית נפרדת.,,מותנה
PRIV-14,פרטיות במקום העבודה,מצלמות,מי רשאי לצפות בצילומים?,בחירה מרובה,בעל/ת העסק | מנהלים | אבטחה | IT | ספק חיצוני | עובדים נוספים | לא יודעת,PRIV-08 = כן,,,,,מותנה
PRIV-15,פרטיות במקום העבודה,מצלמות,כמה זמן נשמרים הצילומים?,בחירה יחידה,עד 7 ימים | 8–30 ימים | 31–90 ימים | מעל 90 ימים | ללא מגבלת זמן ידועה | לא יודעת,PRIV-08 = כן,,,לבחון נחיצות ותקופת שמירה ביחס למטרה.,,מותנה
PRIV-16,פרטיות במקום העבודה,מצלמות,האם נעשה שימוש בצילומים לצורך פיקוח על ביצועי עובדים או הליכים משמעתיים?,בחירה יחידה,כן | לעיתים | לא | לא יודעת,PRIV-08 = כן,,,להצליב עם המטרה שנמסרה לעובדים; שימוש משני הוא דגל.,,מותנה
PRIV-17,פרטיות במקום העבודה,ביומטריה,"האם נעשה שימוש בטביעת אצבע, זיהוי פנים או אמצעי ביומטרי אחר לצורכי נוכחות או גישה?",בחירה יחידה,כן | לא | לא יודעת,GEN-04 > 0,אם TIME-02 כולל ביומטריה — התשובה אמורה להתמלא אוטומטית.,,,בדיקת שימוש בביומטריה,ליבה
PRIV-18,פרטיות במקום העבודה,ביומטריה,האם קיימת לעובדים חלופה שאינה ביומטרית?,בחירה יחידה,כן | לא | לא יודעת,PRIV-17 = כן,,,"לבחון נחיצות, חלופה פחות פוגענית, שקיפות והסכמה/בסיס משפטי.",,מותנה
PRIV-19,פרטיות במקום העבודה,ניטור דיגיטלי,האם נעשה שימוש באחד מאמצעי הניטור הבאים?,בחירה מרובה,"GPS/איתור רכב | מעקב מיקום באפליקציה | ניטור גלישה | ניטור פעילות מחשב | צילום מסך | גישה לדוא""ל עובדים | הקלטת שיחות | אין",GEN-04 > 0,אם נבחר אמצעי כלשהו → PRIV-20–PRIV-22.,,,מדיניות ניטור עובדים,ליבה
PRIV-20,פרטיות במקום העבודה,ניטור דיגיטלי,מהי מטרת הניטור?,טקסט קצר,,PRIV-19 ≠ אין,,,"לבחון תכלית, מידתיות, חלופות וצמצום מידע.",,מותנה
PRIV-21,פרטיות במקום העבודה,ניטור דיגיטלי,"האם העובדים קיבלו מידע מראש על עצם הניטור, היקפו ומטרתו?",בחירה יחידה,"כן, בכתב | כן, בעל פה | חלקית | לא | לא יודעת",PRIV-19 ≠ אין,,,,,מותנה
